drug,smiles,BBB_score,MW,LogP,TPSA,HBD,HBA
Medroxyprogesterone acetate,CC1CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C,7.0,386.5320000000002,4.655200000000004,60.440000000000005,0.0,4.0
Megestrol acetate,CC1=CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C,7.0,384.5160000000002,4.575300000000004,60.440000000000005,0.0,4.0
Mitotane,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,6.0,320.04599999999994,5.929000000000001,0.0,0.0,0.0
SNS-314,C1=CC(=CC(=C1)Cl)NC(=O)NC2=NC=C(S2)CCNC3=NC=NC4=C3SC=C4,3.0,430.9460000000002,5.099800000000001,91.83,3.0,7.0
Tesevatinib,CN1CC2CC(CC2C1)COC3=C(C=C4C(=C3)N=CN=C4NC5=C(C(=C(C=C5)Cl)Cl)F)OC,5.0,491.3940000000001,5.794500000000005,59.510000000000005,1.0,6.0
Axitinib,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4,6.0,386.48,4.6391000000000036,70.67,2.0,4.0
Cediranib,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,4.0,450.5140000000004,5.224220000000004,72.5,1.0,6.0
Ramucirumab,,,,,,,
Semaxanib,CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C,8.0,238.29000000000002,3.1242400000000004,44.89,2.0,1.0
Tucatinib,CC1=C(C=CC(=C1)NC2=NC=NC3=C2C=C(C=C3)NC4=NC(CO4)(C)C)OC5=CC6=NC=NN6C=C5,1.0,480.53200000000027,5.093520000000003,110.85000000000001,2.0,9.0
Vatalanib,C1=CC=C2C(=C1)C(=NN=C2NC3=CC=C(C=C3)Cl)CC4=CC=NC=C4,6.0,346.8210000000001,5.012600000000003,50.7,1.0,4.0
Abrocitinib,CCCS(=O)(=O)NC1CC(C1)N(C)C2=NC=NC3=C2C=CN3,5.0,323.422,1.2545,90.97999999999999,2.0,5.0
Baricitinib,CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,5.0,371.42600000000004,1.09568,120.56,1.0,6.0
Basiliximab,,,,,,,
Belzutifan,CS(=O)(=O)C1=C2C(C(C(C2=C(C=C1)OC3=CC(=CC(=C3)C#N)F)F)F)O,7.0,383.34700000000004,3.288880000000002,87.39,1.0,5.0
Deucravacitinib,CNC(=O)C1=NN=C(C=C1NC2=CC=CC(=C2OC)C3=NN(C=N3)C)NC(=O)C4CC4,4.0,422.4490000000002,1.7323999999999995,135.95000000000002,3.0,8.0
Histamine,C1=C(NC=N1)CCN,7.0,111.14800000000001,-0.08910000000000007,54.7,2.0,2.0
Ruxolitinib,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,7.0,306.37300000000005,3.466380000000002,83.17999999999999,1.0,4.0
Sarilumab,,,,,,,
Satralizumab,,,,,,,
Tocilizumab,,,,,,,
Tofacitinib,CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N,7.0,312.3770000000001,1.5447799999999998,88.91,1.0,5.0
Omacetaxine mepesuccinate,CC(C)(CCCC(CC(=O)OC)(C(=O)OC1C2C3=CC4=C(C=C3CCN5C2(CCC5)C=C1OC)OCO4)O)O,3.0,545.6290000000006,2.580700000000002,123.99000000000002,2.0,10.0
Amsacrine,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,6.0,393.4680000000001,4.511700000000003,80.32,2.0,5.0
Tasonermin,,,,,,,
Acalabrutinib,CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,4.0,465.51700000000017,3.3126000000000015,118.51,2.0,6.0
Branebrutinib,CC#CC(=O)NC1CCCN(C1)C2=C(C=C(C3=C2C(=C(N3)C)C)C(=O)N)F,5.0,370.42800000000005,2.13104,91.22,3.0,3.0
Ibrutinib,C=CC(=O)N1CCCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N,4.0,440.5070000000002,4.2173000000000025,99.16,1.0,6.0
Olokizumab,,,,,,,
Pegademase,,,,,,,
Siltuximab,,,,,,,
Spebrutinib,COCCOC1=CC=C(C=C1)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)NC(=O)C=C)F,4.0,423.44800000000015,4.252600000000002,97.4,3.0,7.0
Abatacept,,,,,,,
Ipilimumab,,,,,,,
TAK-901,CCS(=O)(=O)C1=CC=CC(=C1)C2=CC(=C(C3=C2C4=C(N3)N=CC(=C4)C)C)C(=O)NC5CCN(CC5)C,3.0,504.6560000000003,4.6175400000000035,95.16,2.0,5.0
Tremelimumab,,,,,,,
AZD-8330,CC1=CC(=C(N(C1=O)C)NC2=C(C=C(C=C2)I)F)C(=O)NOCCO,4.0,461.23100000000017,1.83472,92.59,3.0,5.0
Voclosporin,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC=C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,2.0,1214.6459999999984,3.4351000000000047,278.8,5.0,12.0
Bortezomib,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,3.0,384.2450000000001,0.36059999999999875,124.44000000000001,4.0,6.0
Eflapegrastim,,,,,,,
Filgrastim,,,,,,,
Lenograstim,,,,,,,
Lipegfilgrastim,,,,,,,
Pegfilgrastim,,,,,,,
Belumosudil,CC(C)NC(=O)COC1=CC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC5=C(C=C4)NN=C5,3.0,452.51800000000014,4.820100000000003,104.82000000000001,3.0,6.0
Fasudil,C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3,8.0,291.37600000000003,1.2188,62.300000000000004,1.0,4.0
Cabazitaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC,2.0,835.9440000000003,4.5678000000000045,202.44999999999996,3.0,14.0
Vincristine,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,2.0,824.9720000000002,3.517500000000003,171.17000000000002,3.0,12.0
Inotuzumab ozogamicin,,,,,,,
Emapalumab,,,,,,,
Pimecrolimus,CCC1C=C(CC(CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC1=O)O)C)C(=CC4CCC(C(C4)OC)Cl)C)O)C)OC)OC)C)C,1.0,810.4660000000001,5.719400000000006,158.13,2.0,11.0
Tacrolimus,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC,2.0,804.0310000000002,4.639000000000004,178.35999999999999,3.0,12.0
Plerixafor,C1CNCCNCCCN(CCNC1)CC2=CC=C(C=C2)CN3CCCNCCNCCCNCC3,3.0,502.79600000000045,0.41580000000000733,78.66,6.0,8.0
Rilonacept,,,,,,,
Atezolizumab,,,,,,,
Avelumab,,,,,,,
Cemiplimab,,,,,,,
Dostarlimab,,,,,,,
Durvalumab,,,,,,,
Nivolumab,,,,,,,
Pembrolizumab,,,,,,,
Retifanlimab,,,,,,,
Tislelizumab,,,,,,,
Fedratinib,CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)OCCN4CCCC4,2.0,524.6910000000004,4.823620000000004,108.48,3.0,8.0
Filgotinib,C1CC1C(=O)NC2=NN3C(=N2)C=CC=C3C4=CC=C(C=C4)CN5CCS(=O)(=O)CC5,5.0,425.5140000000003,1.9752,96.67000000000002,1.0,6.0
Mifamurtide,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCNC(=O)C(C)NC(=O)CCC(C(=O)N)NC(=O)C(C)NC(=O)C(C)OC(C(C=O)NC(=O)C)C(C(CO)O)O)OC(=O)CCCCCCCCCCCCCCC.O.[Na+],2.0,1277.5150000000006,1.1521999999999886,418.27000000000004,9.0,19.0
Upadacitinib,CCC1CN(CC1C2=CN=C3N2C4=C(NC=C4)N=C3)C(=O)NCC(F)(F)F,7.0,380.3740000000001,2.9079000000000006,78.32,2.0,3.0
Sargramostim,,,,,,,
Vedolizumab,,,,,,,
Duvelisib,CC(C1=CC2=C(C(=CC=C2)Cl)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,6.0,416.87200000000007,4.483500000000003,88.49,2.0,5.0
Cladribine,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,4.0,285.691,-0.2974000000000001,119.31,3.0,7.0
Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,2.0,807.8900000000004,3.259600000000003,224.44999999999996,5.0,14.0
Eribulin,CC1CC2CCC3C(=C)CC(O3)CCC45CC6C(O4)C7C(O6)C(O5)C8C(O7)CCC(O8)CC(=O)CC9C(CC(C1=C)O2)OC(C9OC)CC(CN)O,3.0,729.9080000000001,3.4380000000000046,146.39000000000001,2.0,12.0
Paclitaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,1.0,853.9180000000003,3.735700000000004,221.28999999999996,4.0,14.0
Venetoclax,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,1.0,868.4569999999998,8.659900000000006,172.03,3.0,11.0
Ancestim,,,,,,,
Avapritinib,CC(C1=CC=C(C=C1)F)(C2=CN=C(N=C2)N3CCN(CC3)C4=NC=NN5C4=CC(=C5)C6=CN(N=C6)C)N,3.0,498.5700000000003,2.6077000000000004,106.28999999999999,1.0,8.0
Nilotinib,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,2.0,529.5260000000002,6.355840000000004,97.62,2.0,6.0
Adagrasib,CN1CCCC1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN(C(C6)CC#N)C(=O)C(=C)F,4.0,604.1300000000001,4.732980000000005,88.83000000000001,0.0,8.0
Sotorasib,CC1CN(CCN1C2=NC(=O)N(C3=NC(=C(C=C32)F)C4=C(C=CC=C4F)O)C5=C(C=CN=C5C(C)C)C)C(=O)C=C,3.0,560.6050000000002,4.4814200000000035,104.44999999999999,1.0,7.0
Belimumab,,,,,,,
Celecoxib,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,6.0,381.3790000000001,3.5139200000000015,77.98,1.0,3.0
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,4.0,259.265,0.029799999999999494,92.5,2.0,4.0
Cobimetinib,C1CCNC(C1)C2(CN(C2)C(=O)C3=C(C(=C(C=C3)F)F)NC4=C(C=C(C=C4)I)F)O,6.0,531.3160000000001,3.7811000000000026,64.60000000000001,3.0,4.0
